category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex
LC;3559;Ardea cinerea;gråhegre;Fugler;Knut Olsen|Tor Olsen;25.05.2015 00:00:00;Bygdnes, Sortland, No;5.0;Sortland;Nordland;15;HumanObservasjon;68,73191;15,398418;POINT (516128 7624522);species;reproductive;min. 15 ad. I koloni i granplanting. Antall reir ikke tellt. Activity: VisitOccupiedNest.;
LC;3525;Mergus serrator;siland;Fugler;Helge Søgnebotten;09.09.2015 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;159;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;3471;Anser anser;grågås;Fugler;Tone Mette Bjørstad;09.04.2017 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;7;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;3471;Anser anser;grågås;Fugler;Tone Mette Bjørstad;13.04.2017 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;14;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;3471;Anser anser;grågås;Fugler;Oddvar Heggøy;20.06.2017 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;10;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;in pair
EN;3773;Numenius arquata;storspove;Fugler;Oddvar Heggøy;20.06.2017 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;possiblereproductive;Activity: AgitatedBehaviour. Validationstatus: Approved Documented;in pair
LC;3471;Anser anser;grågås;Fugler;Oddvar Heggøy;20.06.2017 00:00:00;Verholmen, Å, Sortland, No;200.0;Sortland;Nordland;8;HumanObservasjon;68,746428;15,380128;POINT (515378 7626136);species;;Validationstatus: Approved Documented;
LC;3471;Anser anser;grågås;Fugler;Oddvar Heggøy;20.06.2017 00:00:00;Verholmen, Å, Sortland, No;200.0;Sortland;Nordland;14;HumanObservasjon;68,746428;15,380128;POINT (515378 7626136);species;reproductive;2+3+4+5 Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;
LC;3887;Haliaeetus albicilla;havørn;Fugler;Marian Leonhardsen;01.01.2018 00:00:00;Sortlandssundet Bygdneset, Sortland, No;100.0;Sortland;Nordland;1;HumanObservasjon;68,735272;15,405944999999999;POINT (516430 7624898);species;;Validationstatus: Approved Documented;
NR;3482;Anser rossii;eskimogås;Fugler;Johnny Bakken;21.05.2012 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Rastende sammen med hvitkinngjess - også sett tidligere i vår i Solway bay, Scotland Activity: Forage. Validationstatus: Approved Report;
LC;4183;Pica pica;skjære;Fugler;Stig  Rasmussen;23.04.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;6;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;4332;Motacilla alba;linerle;Fugler;Stig  Rasmussen;01.05.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;
VU;3531;Somateria mollissima;ærfugl;Fugler;Stig  Rasmussen;30.05.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;male
LC;3471;Anser anser;grågås;Fugler;Stig  Rasmussen;06.06.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;19;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;På innmark. Validationstatus: Approved Documented;
LC;3694;Larus marinus;svartbak;Fugler;Stig  Rasmussen;06.06.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;
