category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;Kingdom;Phylum;Class;Order;Family;Genus;FamilieNavn;OrdenNavn
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;08.05.2021 00:00:00;SelnesÅnstadBygd, Sortland, No;500.0;Sortland;Nordland;1230;HumanObservasjon;68,730749;15,405083;POINT (516399 7624394);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;3471;Anser anser;grågås;Fugler;Ingunn Tombre|Johnny Bakken;08.08.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;32;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA-prosjekt. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3471;Anser anser;grågås;Fugler;Stig  Rasmussen;21.04.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;21;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3840;Sterna paradisaea;rødnebbterne;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Sterna;måkefamilien;vade-, måke- og alkefugler
LC;3523;Mergus merganser;laksand;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;andefamilien;andefugler
LC;4547;Turdus iliacus;rødvingetrost;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;trostefamilien;spurvefugler
LC;3523;Mergus merganser;laksand;Fugler;Tone Mette Bjørstad;26.05.2014 00:00:00;Bygdnes, Sortland, No;300.0;Sortland;Nordland;1;HumanObservasjon;68,733926;15,400627;POINT (516216 7624747);species;feeding;Activity: Forage.;female;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;andefamilien;andefugler
LC;3525;Mergus serrator;siland;Fugler;Tone Mette Bjørstad;29.05.2014 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;possiblereproductive;Activity: Mating.;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;andefamilien;andefugler
LC;3471;Anser anser;grågås;Fugler;Tone Mette Bjørstad;31.05.2014 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;40;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;ca Activity: Forage.;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3471;Anser anser;grågås;Fugler;Stig  Rasmussen;05.06.2016 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;25;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Antall ca. Innmark. Activity: Forage.;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Inga Bendiksen;30.04.2017 00:00:00;Bygdnes, Sortland, No;500.0;Sortland;Nordland;4;HumanObservasjon;68,731561;15,404625;POINT (516380 7624484);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
NT;3799;Tringa totanus;rødstilk;Fugler;Oddvar Heggøy;20.06.2017 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;possiblereproductive;Activity: AgitatedBehaviour.;in pair;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Tringa;snipefamilien;vade-, måke- og alkefugler
LC;3694;Larus marinus;svartbak;Fugler;Oddvar Heggøy;20.06.2017 00:00:00;Verholmen, Å, Sortland, No;200.0;Sortland;Nordland;6;HumanObservasjon;68,746428;15,380128;POINT (515378 7626136);species;reproductive;Activity: RecentlyFledgedYoung.;in pair;Yes;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
LC;3523;Mergus merganser;laksand;Fugler;Oddvar Heggøy;20.06.2017 00:00:00;Verholmen, Å, Sortland, No;200.0;Sortland;Nordland;30;HumanObservasjon;68,746428;15,380128;POINT (515378 7626136);species;stationary;ca. antall Activity: Resting.;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Karl-Birger Strann|Vigdis Frivoll;30.04.2009 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Denne kvitkinngåsa var nesten kvit med svart nebb og svarte bein. Tatt bilde av den. Activity: Forage. Validationstatus: Report For Rrk Pending;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
EN;3773;Numenius arquata;storspove;Fugler;Stig  Rasmussen;23.04.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;5;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;snøfri innmark Activity: Forage. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Numenius;snipefamilien;vade-, måke- og alkefugler
NT;3799;Tringa totanus;rødstilk;Fugler;Stig  Rasmussen;02.08.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;4;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Tringa;snipefamilien;vade-, måke- og alkefugler
LC;4559;Turdus pilaris;gråtrost;Fugler;Stig  Rasmussen;28.04.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;3;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;trostefamilien;spurvefugler
LC;3525;Mergus serrator;siland;Fugler;Hugo Larsen;02.10.2017 00:00:00;Sandstrand, Sortland, No;150.0;Sortland;Nordland;75;HumanObservasjon;68,750667;15,334835;POINT (513543 7626598);species;stationary;Activity: Stationary. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;andefamilien;andefugler
LC;3694;Larus marinus;svartbak;Fugler;Stig  Rasmussen;11.04.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Inge Hovden;19.04.2020 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;28;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Stig  Rasmussen;16.05.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;600;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Anslag. I 2 flokker Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;4400;Passer montanus;pilfink;Fugler;Stig  Rasmussen;31.05.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;2;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Passeridae;Passer;spurvefamilien;spurvefugler
LC;3694;Larus marinus;svartbak;Fugler;;20.06.1998 00:00:00;Verholmen;710.0;Sortland;Nordland;30;HumanObservasjon;68,746588;15,380334;POINT (515386 7626154);species;;;Unknown;Yes;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
LC;4277;Hirundo rustica;låvesvale;Fugler;Rune Kristiansen|Kurt Kristiansen;18.05.2024 00:00:00;Bygdneset, Sortland, Sortland, No;1265.0;Sortland;Nordland;3;HumanObservasjon;68,732095;15,40511;POINT (516399 7624544);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Hirundinidae;Hirundo;svalefamilien;spurvefugler
NT;3799;Tringa totanus;rødstilk;Fugler;Rune Kristiansen|Kurt Kristiansen;18.05.2024 00:00:00;Bygdneset, Sortland, Sortland, No;1265.0;Sortland;Nordland;2;HumanObservasjon;68,732095;15,40511;POINT (516399 7624544);species;possiblereproductive;Activity: PairInSuitableHabitat. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Tringa;snipefamilien;vade-, måke- og alkefugler
NT;3607;Cepphus grylle;teist;Fugler;Stig  Rasmussen;26.10.2024 00:00:00;Jennestadosen, Sortland, No;150.0;Sortland;Nordland;2;HumanObservasjon;68,747724;15,322384;POINT (513041 7626267);species;feeding;Activity: Forage.;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Cepphus;alkefamilien;vade-, måke- og alkefugler
