category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;log_reason
LC;4277;Hirundo rustica;låvesvale;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3510;Cygnus cygnus;sangsvane;Fugler;Knut Olsen|Tor Olsen;24.05.2015 00:00:00;Stormyrraet, Stormyra, Andøy, No;5.0;Andøy;Nordland;1;69,277059;16,105077;POINT (543638 7685650);species;moving;Activity: FlyingBy. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Raymond Birkelund|Thorbjørn Aakre;21.05.2016 00:00:00;Kleivvannet, Andøy, No;250.0;Andøy;Nordland;2;69,307368;16,094549;POINT (543162 7689021);species;;;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen|Rune Solvang;02.08.2016 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Oddvar Heggøy|Martin Eggen;30.05.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;12;69,307254;16,095034;POINT (543181 7689009);species;possiblereproductive;Activity: InNestingHabitat. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3487;Aythya fuligula;toppand;Fugler;Martin Eggen|Oddvar Heggøy;03.07.2017 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;8;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3510;Cygnus cygnus;sangsvane;Fugler;Oddvar Heggøy|Martin Eggen;14.06.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4332;Motacilla alba;linerle;Fugler;Oddvar Heggøy|Martin Eggen;14.06.2018 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4183;Pica pica;skjære;Fugler;Audun Skrindo;16.08.2018 00:00:00;Andøya flystasjon, Andøy, No;25.0;Andøy;Nordland;1;69,30973;16,125918;POINT (544394 7689307);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
Unknown;3688;Larus glaucoides;grønlandsmåke;Fugler;Anette Jensen;27.09.2010 00:00:00;Andøya Flystasjon S, Andøya flystasjon, Andøy, No;405.0;Andøy;Nordland;1;69,282608;16,151574;POINT (545462 7686302);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
