proxyId;institution;collection;category;validScientificNameId;validScientificName;validScientificNameAuthorship;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;identifiedBy;validated;catalogNumber;latitude;longitude;east;north;geometry;scientificNameRank;behavior;unspontaneus;unsureIdentification;hasImage;absent;notRecovered;dateLastModified;dateLastIdentified;occurrenceId;datasetName;datasetId;notes;habitat;sex;collectingMethod;recordNumber;fieldNumber;measurementMethod;georeferenceRemarks;preparations;otherCatalogNumbers;relatedResourceId;relationshipOfResource;typeStatus;eventTime;maximumElevationInMeters;minimumElevationInMeters;verbatimDepth;dynamicProperties;nodeId;institutionCode;collectionCode;popularNames;associatedReferences;hasErrors;blocked;qualityIssue
nina/nina/1_1870_15_163898;Norsk institutt for naturforskning;nina hos Norsk institutt for naturforskning;LC;3525;Mergus serrator;Linnaeus, 1758;siland;Fugler;;01.06.1991 00:00:00;Jektbogen-Holten;710;Sortland;Nordland;1;HumanObservasjon;;False;1_1870_15_163898;68,747184;15,347802;514070;7626212;POINT (514070 7626212);species;;False;False;False;False;False;01.06.1991 00:00:00;;1_1870_15_163898;SEAPOP NINA last observation per locality;00000000-0000-0000-0000-000000000000;;;Male;;;;;;;;;;;;;;;"{""OrganismQuantity"":""1"",""OrganismQuantityType"":""Individuals"",""institutionID"":""NINA"",""lifeStage"":""ad"",""vernacularName"":""Siland""}";292;NINA;nina;"[{""Lang"":""se-NO"",""Name"":""vuoktagoalsi""},{""Lang"":""nb-NO"",""Name"":""siland""},{""Lang"":""nn-NO"",""Name"":""siland""}]";;False;False;False
nina/nina/1_1870_15_163897;Norsk institutt for naturforskning;nina hos Norsk institutt for naturforskning;VU;3531;Somateria mollissima;(Linnaeus, 1758);ærfugl;Fugler;;01.06.1991 00:00:00;Jektbogen-Holten;710;Sortland;Nordland;3;HumanObservasjon;;False;1_1870_15_163897;68,747184;15,347802;514070;7626212;POINT (514070 7626212);species;;False;False;False;False;False;01.06.1991 00:00:00;;1_1870_15_163897;SEAPOP NINA last observation per locality;00000000-0000-0000-0000-000000000000;;;Male;;;;;;;;;;;;;;;"{""OrganismQuantity"":""3"",""OrganismQuantityType"":""Individuals"",""institutionID"":""NINA"",""lifeStage"":""ad"",""vernacularName"":""Ærfugl""}";292;NINA;nina;"[{""Lang"":""nb-NO"",""Name"":""ærfugl""},{""Lang"":""nn-NO"",""Name"":""ærfugl""},{""Lang"":""se-NO"",""Name"":""ákta""}]";;False;False;False
urn:uuid:8527fa36-f288-4301-8fc2-c93dbbe25bcc;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3559;Ardea cinerea;Linnaeus, 1758;gråhegre;Fugler;Stig  Rasmussen;26.09.2020 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400;Sortland;Nordland;1;HumanObservasjon;;True;25247594;68,745363;15,361434;514622;7626012;POINT (514622 7626012);species;feeding;False;False;False;False;False;09.09.2021 16:32:27;;urn:uuid:8527fa36-f288-4301-8fc2-c93dbbe25bcc;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-09-26/2020-09-26"",""Day"":""26"",""Month"":""9"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""gråhegre""},{""Lang"":""nn-NO"",""Name"":""gråhegre""},{""Lang"":""se-NO"",""Name"":""ránesháigir""}]";https://www.artsobservasjoner.no/Sighting/25247594;False;False;False
urn:uuid:567b7359-5d16-48d9-9784-326198d9a944;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3461;Anas platyrhynchos;Linnaeus, 1758;stokkand;Fugler;Stig  Rasmussen;01.10.2020 00:00:00;Bygdneset, Sortland, No;300;Sortland;Nordland;4;HumanObservasjon;Validator: Steve Baines;True;25282386;68,730521;15,404823;516388;7624368;POINT (516388 7624368);species;feeding;False;False;False;False;False;27.02.2021 14:04:02;;urn:uuid:567b7359-5d16-48d9-9784-326198d9a944;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;female;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-10-01/2020-10-01"",""Day"":""1"",""Month"":""10"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""4""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""stokkand""},{""Lang"":""nn-NO"",""Name"":""stokkand""},{""Lang"":""se-NO"",""Name"":""duoršu""}]";https://www.artsobservasjoner.no/Sighting/25282386;False;False;False
urn:uuid:4a7e785e-0559-43f9-a917-fbd5d643dd54;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4162;Corvus corax;Linnaeus, 1758;ravn;Fugler;Stig  Rasmussen;03.10.2020 00:00:00;Storlibukta, Sortland, No;300;Sortland;Nordland;3;HumanObservasjon;;True;25294065;68,735617;15,393108;515911;7624934;POINT (515911 7624934);species;;False;False;False;False;False;27.03.2021 17:22:46;;urn:uuid:4a7e785e-0559-43f9-a917-fbd5d643dd54;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-10-03/2020-10-03"",""Day"":""3"",""Month"":""10"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""3"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""ravn""},{""Lang"":""nn-NO"",""Name"":""ramn""},{""Lang"":""se-NO"",""Name"":""gáranas""}]";https://www.artsobservasjoner.no/Sighting/25294065;False;False;False
urn:uuid:7bbc4315-d320-42aa-a18f-5b0d53f569f8;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;NT;3935;Phalacrocorax carbo;(Linnaeus, 1758);storskarv;Fugler;Stig  Rasmussen;03.10.2020 00:00:00;Storlibukta, Sortland, No;300;Sortland;Nordland;5;HumanObservasjon;Validator: Steve Baines;True;25295390;68,735617;15,393108;515911;7624934;POINT (515911 7624934);species;feeding;False;False;False;False;False;12.03.2021 10:54:34;;urn:uuid:7bbc4315-d320-42aa-a18f-5b0d53f569f8;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-10-03/2020-10-03"",""Day"":""3"",""Month"":""10"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""5""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""storskarv""},{""Lang"":""nn-NO"",""Name"":""storskarv""},{""Lang"":""se-NO"",""Name"":""skárfa""}]";https://www.artsobservasjoner.no/Sighting/25295390;False;False;False
urn:uuid:d6c3d1c7-e15c-4fa1-9d83-02c66c473922;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4164;Corvus cornix;Linnaeus, 1758;kråke;Fugler;Stig  Rasmussen;09.01.2021 00:00:00;Storlibukta, Sortland, No;300;Sortland;Nordland;11;HumanObservasjon;Validator: Steve Baines;True;25878768;68,735617;15,393108;515911;7624934;POINT (515911 7624934);species;;False;False;False;False;False;09.11.2022 09:28:07;;urn:uuid:d6c3d1c7-e15c-4fa1-9d83-02c66c473922;;00000000-0000-0000-0000-000000000000;Min.. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-01-09/2021-01-09"",""Day"":""9"",""Month"":""1"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""11""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""kråke""},{""Lang"":""nn-NO"",""Name"":""kråke""},{""Lang"":""se-NO"",""Name"":""garjá""}]";https://www.artsobservasjoner.no/Sighting/25878768;False;False;False
urn:uuid:e8588a9a-8813-46a5-b291-376f24768a31;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4162;Corvus corax;Linnaeus, 1758;ravn;Fugler;Stig  Rasmussen;09.01.2021 00:00:00;Storlibukta, Sortland, No;300;Sortland;Nordland;7;HumanObservasjon;Validator: Steve Baines;True;25878766;68,735617;15,393108;515911;7624934;POINT (515911 7624934);species;;False;False;False;False;False;09.11.2022 09:36:32;;urn:uuid:e8588a9a-8813-46a5-b291-376f24768a31;;00000000-0000-0000-0000-000000000000;Min.. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-01-09/2021-01-09"",""Day"":""9"",""Month"":""1"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""7""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""ravn""},{""Lang"":""nn-NO"",""Name"":""ramn""},{""Lang"":""se-NO"",""Name"":""gáranas""}]";https://www.artsobservasjoner.no/Sighting/25878766;False;False;False
urn:uuid:7a309c6a-b533-4487-9e3e-636693362de2;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;3559;Ardea cinerea;Linnaeus, 1758;gråhegre;Fugler;Stig  Rasmussen;26.03.2021 00:00:00;Storlibukta, Sortland, No;300;Sortland;Nordland;1;HumanObservasjon;Validator: Steve Baines;True;26246972;68,735617;15,393108;515911;7624934;POINT (515911 7624934);species;feeding;False;False;False;False;False;31.10.2022 16:00:26;;urn:uuid:7a309c6a-b533-4487-9e3e-636693362de2;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-03-26/2021-03-26"",""Day"":""26"",""Month"":""3"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""gråhegre""},{""Lang"":""nn-NO"",""Name"":""gråhegre""},{""Lang"":""se-NO"",""Name"":""ránesháigir""}]";https://www.artsobservasjoner.no/Sighting/26246972;False;False;False
urn:uuid:47a3b533-1a12-47d5-be8d-16edcb1110d4;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;VU;3531;Somateria mollissima;(Linnaeus, 1758);ærfugl;Fugler;Stig  Rasmussen;26.03.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400;Sortland;Nordland;80;HumanObservasjon;;True;26246693;68,745363;15,361434;514622;7626012;POINT (514622 7626012);species;;False;False;False;False;False;22.09.2022 12:47:20;;urn:uuid:47a3b533-1a12-47d5-be8d-16edcb1110d4;;00000000-0000-0000-0000-000000000000;Ca, mot sundet. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-03-26/2021-03-26"",""Day"":""26"",""Month"":""3"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""80"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""ærfugl""},{""Lang"":""nn-NO"",""Name"":""ærfugl""},{""Lang"":""se-NO"",""Name"":""ákta""}]";https://www.artsobservasjoner.no/Sighting/26246693;False;False;False
